,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy,Category
0,1876052.0,5544.0,1175,1599,0.7348342714196373,1.0014781040184386,16.38330707251185,178.46772796827804,177.76173353026493,174.2431626149322,49.95704728845397,46.97234543950785,54.53181188474271,7.616273949093267,0.998399839815529,0.8713166688633043,7.017885565547454,Alari
0,1750905.0,5388.0,1096,1600,0.685,1.0015392040116398,16.58030789791565,177.94416115419708,178.94338674726276,173.83093635948904,41.77840231968578,38.355095995234656,52.19894551762053,8.915220993887814,0.9973331152927958,0.8694115844951307,6.899467729429645,Alari
0,1749306.0,5386.0,1095,1600,0.684375,1.0015400393070166,16.583145544575963,183.97224315068493,184.1230941780822,182.22221347031964,35.576899588803926,32.44933006874071,39.49722317197623,7.322995448162743,0.9968694418066661,0.9105237517511052,6.11017524161524,Alari
0,1706664.0,5332.0,1069,1599,0.6685428392745466,1.0015626977542151,16.658360403688132,182.25778272318234,182.06748897668152,178.750674386646,36.94709203841899,33.47858391147885,40.92301936156596,9.029905470309885,0.9963923123379759,0.9088588548531693,6.053077373046955,Alari
0,1979922.0,5674.0,1240,1599,0.7754846779237023,1.0014333898002044,16.260375913798626,178.78969365934356,178.43846759063123,175.64459894288768,36.40968749184495,33.263889530669616,40.055819431365805,8.483517971668572,0.9965365034255929,0.9022377351706783,6.388049496018889,Alari
0,1915602.0,5594.0,1199,1600,0.749375,1.0014606374393011,16.335771209259544,179.7501532527106,179.9616654503753,178.1303789616347,35.97813545321112,32.984583174397464,39.600234864272096,9.450450553725744,0.9960585682231302,0.9134017107711023,6.122277737043864,Alari
0,1832454.0,5490.0,1147,1600,0.716875,1.0014985369346243,16.44794357730126,180.9901983435048,180.85320891455973,178.62687990409765,35.97957052624068,33.09366832454462,39.8075954515112,6.795021213594108,0.9971827237902284,0.90732699706443,6.245063706031012,Alari
0,1950780.0,5638.0,1221,1600,0.763125,1.0014455756159075,16.294530392971016,179.05413595413594,178.95955006142506,176.65088861588862,35.903538229859166,32.8746642821,39.6478955720097,4.620596436215841,0.9980656631842166,0.9094102061196339,6.1864985312660545,Alari
0,2017938.0,5722.0,1263,1600,0.789375,1.0014182794515987,16.22511890850958,179.11904641726048,178.59787905779888,175.81250890736342,34.96498803125427,32.05045209768954,38.6840966091119,8.077787944437304,0.9964401245716643,0.8889455477265169,6.509478231014963,Alari
0,1890018.0,5562.0,1183,1600,0.739375,1.0014719436534467,16.368015542709117,179.52445160608622,179.12485841081994,176.49367762045648,33.9199009901864,31.390124506056594,37.704158867568786,8.733016107480118,0.9959535047444741,0.9005948799750316,6.476231287537334,Alari
0,2040324.0,5750.0,1277,1600,0.798125,1.0014095800470906,16.204534181826023,181.46361100234927,180.75162832811276,175.14710552075175,28.09679829850846,25.68958193031909,37.53427691537597,2.824349935859186,0.9981556035694422,0.8995140219319165,6.64663034929518,Alari
0,1827657.0,5484.0,1144,1600,0.715,1.0015008286565805,16.455087579343388,177.50008085664336,176.79512456293708,172.6075835882867,49.605549672807406,46.70194738650255,53.434159786684624,12.483031133216532,0.9973325674273812,0.874322862952972,7.018874751380164,Alari
0,1848444.0,5510.0,1157,1600,0.723125,1.001490983767969,16.424679351930596,182.97974827139154,182.56507886776146,176.78471099827138,31.2429057527646,28.248287551914487,41.499212870898674,3.79682687570693,0.9979703012312233,0.9017070585179807,6.219940159323327,Alari
0,1953978.0,5642.0,1223,1600,0.764375,1.0014442332513467,16.290953122297182,179.8732118765331,178.6023471995094,175.2168208299264,25.95416992557519,24.13015732116749,29.332147675127338,5.62584303027681,0.9955779289408369,0.9138882933958583,5.9772079302087935,Alari
0,2066214.0,5782.0,1294,1599,0.809255784865541,1.0013996614097087,16.180087832141297,181.12047908613673,179.99046399749457,176.69206169234442,26.21734168586592,24.33129482716852,29.011108034497525,5.614122711315336,0.9956386981138534,0.8980516451092198,6.507049251349339,Alari
0,1877226.0,5546.0,1175,1600,0.734375,1.0014777123265926,16.384876408061682,183.63318829787235,182.71340531914893,180.07423829787234,25.668516443480414,23.37208115078106,28.965581672976157,7.083887137550227,0.9941816565986704,0.9056393707033545,6.002336366538502,Alari
0,1974765.0,5668.0,1236,1600,0.7725,1.0014356138578515,16.268378262729996,181.40705299352751,180.35328175566343,177.19369235436892,25.94761001374087,24.05145109148913,28.9276077501905,7.120238241237886,0.9943551776701969,0.9133267366222059,6.170535744749676,Alari
0,1966770.0,5658.0,1231,1600,0.769375,1.0014389074472358,16.276923076923076,179.90121649065802,178.94919780666126,175.65530869212023,25.99401924476867,23.99451933525322,28.91569663744932,2.5463589579549764,0.9979804405496493,0.9128967881133511,6.226797846103088,Alari
0,1963572.0,5654.0,1229,1600,0.768125,1.0014402323928024,16.280389005343324,178.98515408869,177.9810181041497,174.8092290480065,25.948503561175478,23.723002958012902,29.098632699760028,5.71185118102982,0.9954148106621409,0.9155175442276816,5.877837284154177,Alari
0,1798875.0,5448.0,1126,1600,0.70375,1.0015148356611772,16.49959224515322,183.56869171847248,182.72914464920072,179.97018927619894,25.353723165236797,23.091890907377696,28.685367344847567,6.636402816308676,0.9944163295937721,0.9213095735671372,5.883492094390785,Alari
